,SAC 0,Exports,SJR,DICU,Vern EC,SF_Tide,DXC
1940-07-07,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.866300106048584,1.0
1940-07-08,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.826000213623047,1.0
1940-07-09,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.063700199127197,1.0
1940-07-10,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.766800403594971,1.0
1940-07-11,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.344099998474121,1.0
1940-07-12,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.36269998550415,1.0
1940-07-13,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.630100250244141,1.0
1940-07-14,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.180700302124023,1.0
1940-07-15,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.741900444030762,1.0
1940-07-16,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.140999794006348,1.0
1940-07-17,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.295100212097168,1.0
1940-07-18,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.153600215911865,1.0
1940-07-19,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,7.015200138092041,1.0
1940-07-20,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,6.595800399780273,1.0
1940-07-21,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.88129997253418,1.0
1940-07-22,22779.67628479004,9782.442649841309,1753.2830810546875,4312.45068359375,597.4869995117188,5.627300262451172,1.0
